,species,countryCode,decimalLatitude,decimalLongitude,year
407,Lithobates catesbeianus,KR,35.309923,126.414664,2007.0
408,Lithobates catesbeianus,KR,35.267561,126.421885,2007.0
409,Lithobates catesbeianus,KR,35.307086,126.783362,2007.0
410,Lithobates catesbeianus,KR,35.264224,126.746388,2007.0
411,Lithobates catesbeianus,KR,35.383062,126.477444,2007.0
412,Lithobates catesbeianus,KR,36.780945,127.40898,2006.0
413,Lithobates catesbeianus,KR,36.842903,126.28008,2006.0
414,Lithobates catesbeianus,KR,36.866511,126.198421,2006.0
415,Lithobates catesbeianus,KR,35.571226,128.230919,2006.0
416,Lithobates catesbeianus,KR,35.677462,127.98505,2006.0
417,Lithobates catesbeianus,KR,35.507475,126.852096,2006.0
418,Lithobates catesbeianus,KR,35.508654,126.738829,2006.0
419,Lithobates catesbeianus,KR,35.688089,126.688729,2006.0
420,Lithobates catesbeianus,KR,35.717725,126.652556,2006.0
421,Lithobates catesbeianus,KR,35.687315,126.554426,2006.0
422,Lithobates catesbeianus,KR,35.729918,126.620149,2006.0
423,Lithobates catesbeianus,KR,35.98155,129.482128,2005.0
424,Lithobates catesbeianus,KR,35.870318,128.427336,2005.0
425,Lithobates catesbeianus,KR,35.853052,129.118736,2005.0
426,Lithobates catesbeianus,KR,35.89484,129.08395,2005.0
427,Lithobates catesbeianus,KR,35.934082,129.101316,2005.0
428,Lithobates catesbeianus,KR,35.948443,129.063698,2005.0
429,Lithobates catesbeianus,KR,35.31387,128.446584,2005.0
430,Lithobates catesbeianus,KR,35.340087,128.481277,2005.0
431,Lithobates catesbeianus,KR,35.364236,128.452042,2005.0
